"SulcalDepth","SulcalSpan","Curvature","Thickness","R1","AgeCat","ROI"
0.937749658536244,0.209969045921948,0.591483895789183,0.695333164037408,0.342044291186934,"2m","calcarine"
0.757864405739781,0.254204871997235,0.678142197909107,0.339256158912748,0.289997485561341,"1m","calcarine"
0.855023668752104,0.36689236309922,0.58485334847679,0.395768413023727,0.431212122637112,"2m","calcarine"
0.727780293923244,0.389768964796247,0.769723475214117,0.344046422432804,0.23528071397887,"1m","calcarine"
0.744101545214326,0.392348755168849,0.553736497110975,0.416620785408838,0.521613799372138,"3m","calcarine"
0.626591071791303,0.547505325853211,0.603850149851993,0.366901793901505,0.624510493563011,"4m","calcarine"
0.647258781295229,0.385457329935968,0.771695811980229,0.331121515629364,0.349280978423683,"2m","calcarine"
0.487286504066066,0.436536815402627,0.877146626325093,0.207431504949093,0.411969889804518,"3m","calcarine"
0.567071851443308,0.344968090249993,0.566211041631904,0.361484933870155,0.596589298117546,"4m","calcarine"
0.832829377698034,0.0998285933035858,0.260881485558249,0.363134197773972,0.127247262263145,"1m","insula"
0.828570427881588,0.134103983087218,0.255235754534663,0.30708440142487,0.264133620977004,"2m","insula"
0.85036105787674,0.179168275612022,0.214157041445684,0.462766840625141,0.279339612698994,"3m","insula"
0.864506516474174,0.110680381333665,0.240603451958094,0.421117652672417,0.213865593987035,"1m","insula"
0.934898256679274,0.156837738165177,0.196710969264132,0.704140959038659,0.252421219096125,"3m","insula"
0.863039936722353,0.105505749477396,0.304067621921259,0.663810507088168,0.131264762645567,"1m","insula"
0.860899826391448,0.139578961579537,0.28893492155241,0.645672823651337,0.224870965591471,"2m","insula"
0.911746223294717,0.145123557938065,0.268940213157658,1,0.283683589014034,"3m","insula"
0.913474150371331,0.104491047792486,0.291875910935093,0.441803073304688,0.132163833520372,"1m","insula"
0.89374575308432,0.142584325501192,0.276047435154023,0.500750544474392,0.225932202545917,"2m","insula"
0.879370056639515,0.159034914451503,0.265686029578294,0.587165728166679,0.283801427393439,"3m","insula"
0.949641931820254,0.103364439028144,0.182799025631712,0.312485649287252,0.196003812873761,"1m","insula"
0.93094610589628,0.124745726887824,0.363633396851031,0.655703431238276,0.223552614144866,"2m","insula"
0.983020461080909,0.15925117737091,0.306359237308218,0.663046636010084,0.293086593782061,"3m","insula"
0.824644605832269,0.100558905741422,0.245812702372403,0.403728650095215,0.261654865770745,"2m","insula"
0.825927230879073,0.117116740148441,0.22442158790564,0.623488775448275,0.333984533297779,"3m","insula"
0.814185585666138,0.116350556857595,0.259792189258777,0.430314345396172,0.214794954304435,"1m","insula"
0.825285502638822,0.154608567375611,0.238413796769786,0.26994164494735,0.290102184684828,"2m","insula"
0.850155070178806,0.165011105547722,0.199792392072918,0.580391172035766,0.328981657875353,"3m","insula"
0.916184485644717,0.173154468486485,0.203608923945005,0.313825201514773,0.229812847204838,"2m","insula"
0.940661616480665,0.115601511193875,0.30332556801019,0.489262660466899,0.24773098881061,"1m","insula"
0.887769199826306,0.163097850715754,0.225695137776869,0.511054716643704,0.355365422070244,"3m","insula"
0.887391382498074,0.0828478805541881,0.335416050157779,0.335407688936957,0.264438590022298,"1m","insula"
0.887869734017259,0.184008156187721,0.250150220744752,0.397486173560765,0.304396450353943,"2m","insula"
